Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regime type,Democracy_Index,biofuel_elec_per_capita,coal_elec_per_capita,coal_production,gas_production,low_carbon_electricity,oil_production,renewables_production,non_renewables_production,total_production,Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day),Deaths,Total_Emissions,Human Development Index,Rule_of_Law_Index,Median Age,Urban Population (%),Tax_Revenue
Afghanistan,2008,3.7235898971557617,7.35041618347168,0.4506623148918152,50.5,0.7181143164634705,0.1640551090240478,0.8816863298416138,0.4142970442771911,0.2581954896450043,Authoritarian,3.02,0.0,4.919,2.015,0.542,0.54,0.0,0.54,0.24,0.78,2087.709,58.26355,30.400152,5644,924040.593,0.431,0.156,14.302,23.32,6.174382
Afghanistan,2010,4.758380889892578,7.613899707794189,0.5390751957893372,51.09999847412109,0.6001272201538086,0.1178605407476425,0.7067660689353943,0.5169066786766052,0.2753238081932068,Authoritarian,2.48,0.0,2.128,4.209,1.539,0.75,0.0,0.75,0.13,0.88,2207.9998,65.759995,38.059998,7151,1495076.943,0.449,0.154,14.608,23.737,9.559737
Afghanistan,2011,3.831719160079956,7.581258773803711,0.52110356092453,51.400001525878906,0.4959014058113098,0.1600984185934066,0.731108546257019,0.4798346757888794,0.2671746909618377,Authoritarian,2.48,0.0,3.419,8.592,1.751,0.6,0.0,0.6,0.17,0.77,2179.0002,63.960007,35.980003,7560,1749367.264,0.457,0.154,14.776,23.948,9.359386
Afghanistan,2012,3.782937526702881,7.660505771636963,0.5206367373466492,51.70000076293945,0.5309350490570068,0.2341571748256683,0.7756198048591614,0.6135128140449524,0.26791912317276,Authoritarian,2.48,0.0,2.298,7.199,1.739,0.74,0.0,0.74,0.14,0.88,2172.9998,62.859993,37.449997,7754,1753130.7740000002,0.467,0.151,14.947,24.16,7.950485
Afghanistan,2013,3.5721004009246826,7.680333137512207,0.4835518598556518,52.0,0.5779553651809692,0.0592464841902256,0.8232041001319885,0.5474169850349426,0.2733280956745147,Authoritarian,2.48,0.0,3.805,7.82,1.676,0.89,0.0,0.89,0.22,1.11,2210.9998,63.39999,38.149994,8104,1744717.6900000002,0.475,0.165,15.124,24.373,7.548227
Afghanistan,2014,3.1308956146240234,7.670638084411621,0.525568425655365,52.29999923706055,0.5085140466690063,0.1023299247026443,0.8712419867515564,0.4916410148143768,0.3748607337474823,Authoritarian,2.77,0.0,3.362,8.81,1.539,1.0,0.0,1.0,0.16,1.16,2275.9998,65.70999,41.939995,12499,1636106.288,0.48,0.174,15.305,24.587,7.141338
Afghanistan,2015,3.982854604721069,7.653833389282227,0.5285972356796265,52.59999847412109,0.3889275789260864,0.0782182738184928,0.8806383013725281,0.491409957408905,0.3392760455608368,Authoritarian,2.77,0.0,2.963,7.925,1.586,1.03,0.0,1.03,0.15,1.1800000000000002,2257.0,64.07,39.03,17926,1939702.801,0.479,0.2,15.49,24.803,7.874765
Afghanistan,2016,4.220168590545654,7.650369644165039,0.5590717792510986,52.92499923706055,0.5225661993026733,0.0404801443219184,0.7932455539703369,0.5014087557792664,0.3483322858810425,Authoritarian,2.55,0.0,2.598,9.858,1.793,1.06,0.0,1.06,0.15,1.21,2245.0,64.95,41.64,18674,1758586.4920000003,0.483,0.188,15.681,25.02,9.837913
Afghanistan,2017,2.6617181301116943,7.647830486297607,0.4908800721168518,53.25,0.4270108640193939,-0.1228477135300636,0.9543925523757936,0.4352699518203735,0.3713261783123016,Authoritarian,2.55,0.0,3.086,,,1.09,,1.09,0.1699999999999999,1.26,2311.0,65.42,40.910004,19741,1830762.087,0.485,0.199,15.868,25.25,10.1876335
Afghanistan,2018,2.694303274154663,7.630800724029541,0.5075158476829529,53.57500076293945,0.373535543680191,-0.0945523902773857,0.92760568857193,0.3845614790916443,0.4049043953418731,Authoritarian,2.97,0.0,3.271,,,0.97,,0.97,0.2,1.1700000000000002,2264.9995,62.939987,42.079994,26822,1934950.022,0.486,0.209,16.051,25.495,9.173828
Afghanistan,2019,2.375091791152954,7.640085697174072,0.4199728667736053,53.900001525878906,0.3936561644077301,-0.1094578579068183,0.9238491058349608,0.324107825756073,0.5024737119674683,Authoritarian,2.85,0.0,2.118,,,0.89,,0.89,0.18,1.07,2228.0002,60.980007,41.880005,30393,2021297.225,0.492,0.211,16.234,25.754,8.362843
Albania,2010,5.268936634063721,9.282611846923828,0.7331522703170776,67.5999984741211,0.5689584016799927,-0.1762193590402603,0.7262616753578186,0.5760765671730042,0.3000602424144745,Flawed democracy,5.86,0.0,0.0,0.027,0.103,7.57,7.32,7.57,0.0,7.57,3255.9976,109.04993,105.05992,0,173634.3208,0.766,0.525,31.57,52.163,23.277954
